Year,Series,Sector,Zone,Unit,Value,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,Rural,,Percentage,72,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,Urban,,Percentage,42,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,,North Central,Percentage,66.3,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,,North East,Percentage,76.5,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,,North West,Percentage,75.8,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,,South East,Percentage,49,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,,South South,Percentage,62.6,,,,,,,,,,
2021,Proportion of people living in poverty in all dimensions by Geo Polotical Zones and by place of Residence,,South West,Percentage,40,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
