Year,Series,Sector,State,Unit,Value
2018,"Proportion of population living below the national poverty line, by sex and age",Urban,,Percentage(%),18.04
2018,"Proportion of population living below the national poverty line, by sex and age",Rural,,Percentage(%),52.1
2018,"Proportion of population living below the national poverty line, by sex and age",,Abia,Percentage(%),30.67
2018,"Proportion of population living below the national poverty line, by sex and age",,Adamawa,Percentage(%),75.41
2018,"Proportion of population living below the national poverty line, by sex and age",,Akwa Ibom,Percentage(%),26.82
2018,"Proportion of population living below the national poverty line, by sex and age",,Anambra,Percentage(%),14.78
2018,"Proportion of population living below the national poverty line, by sex and age",,Bauchi,Percentage(%),61.53
2018,"Proportion of population living below the national poverty line, by sex and age",,Bayelsa,Percentage(%),22.61
2018,"Proportion of population living below the national poverty line, by sex and age",,Benue,Percentage(%),32.9
2018,"Proportion of population living below the national poverty line, by sex and age",,Cross River,Percentage(%),36.29
2018,"Proportion of population living below the national poverty line, by sex and age",,Delta,Percentage(%),6.02
2018,"Proportion of population living below the national poverty line, by sex and age",,Ebonyi,Percentage(%),79.76
2018,"Proportion of population living below the national poverty line, by sex and age",,Edo,Percentage(%),11.99
2018,"Proportion of population living below the national poverty line, by sex and age",,Ekiti,Percentage(%),28.04
2018,"Proportion of population living below the national poverty line, by sex and age",,Enugu,Percentage(%),58.13
2018,"Proportion of population living below the national poverty line, by sex and age",,Gombe,Percentage(%),62.31
2018,"Proportion of population living below the national poverty line, by sex and age",,Imo,Percentage(%),28.86
2018,"Proportion of population living below the national poverty line, by sex and age",,Jigawa,Percentage(%),87.02
2018,"Proportion of population living below the national poverty line, by sex and age",,Kaduna,Percentage(%),43.48
2018,"Proportion of population living below the national poverty line, by sex and age",,Kano,Percentage(%),55.08
2018,"Proportion of population living below the national poverty line, by sex and age",,Katsina,Percentage(%),56.42
2018,"Proportion of population living below the national poverty line, by sex and age",,Kebbi,Percentage(%),50.17
2018,"Proportion of population living below the national poverty line, by sex and age",,Kogi,Percentage(%),28.51
2018,"Proportion of population living below the national poverty line, by sex and age",,Kwara,Percentage(%),20.35
2018,"Proportion of population living below the national poverty line, by sex and age",,Lagos,Percentage(%),4.5
2018,"Proportion of population living below the national poverty line, by sex and age",,Nasarawa,Percentage(%),57.3
2018,"Proportion of population living below the national poverty line, by sex and age",,Niger,Percentage(%),66.11
2018,"Proportion of population living below the national poverty line, by sex and age",,Ogun,Percentage(%),9.32
2018,"Proportion of population living below the national poverty line, by sex and age",,Ondo,Percentage(%),12.52
2018,"Proportion of population living below the national poverty line, by sex and age",,Osun,Percentage(%),8.52
2018,"Proportion of population living below the national poverty line, by sex and age",,Oyo,Percentage(%),9.83
2018,"Proportion of population living below the national poverty line, by sex and age",,Plateau,Percentage(%),55.05
2018,"Proportion of population living below the national poverty line, by sex and age",,Rivers,Percentage(%),23.91
2018,"Proportion of population living below the national poverty line, by sex and age",,Sokoto,Percentage(%),87.73
2018,"Proportion of population living below the national poverty line, by sex and age",,Taraba,Percentage(%),87.72
2018,"Proportion of population living below the national poverty line, by sex and age",,Yobe,Percentage(%),72.34
2018,"Proportion of population living below the national poverty line, by sex and age",,Zamfara,Percentage(%),73.98
2018,"Proportion of population living below the national poverty line, by sex and age",,FCT,Percentage(%),38.66
2018,"Proportion of population living below the national poverty line, by sex and age",,,Percentage(%),40.1
2019,"Proportion of population living below the national poverty line, by sex and age",Urban,,Percentage(%),18.04
2019,"Proportion of population living below the national poverty line, by sex and age",Rural,,Percentage(%),52.1
2019,"Proportion of population living below the national poverty line, by sex and age",,Abia,Percentage(%),30.67
2019,"Proportion of population living below the national poverty line, by sex and age",,Adamawa,Percentage(%),75.41
2019,"Proportion of population living below the national poverty line, by sex and age",,Akwa Ibom,Percentage(%),26.82
2019,"Proportion of population living below the national poverty line, by sex and age",,Anambra,Percentage(%),14.78
2019,"Proportion of population living below the national poverty line, by sex and age",,Bauchi,Percentage(%),61.53
2019,"Proportion of population living below the national poverty line, by sex and age",,Bayelsa,Percentage(%),22.61
2019,"Proportion of population living below the national poverty line, by sex and age",,Benue,Percentage(%),32.9
2019,"Proportion of population living below the national poverty line, by sex and age",,Cross River,Percentage(%),36.29
2019,"Proportion of population living below the national poverty line, by sex and age",,Delta,Percentage(%),6.02
2019,"Proportion of population living below the national poverty line, by sex and age",,Ebonyi,Percentage(%),79.76
2019,"Proportion of population living below the national poverty line, by sex and age",,Edo,Percentage(%),11.99
2019,"Proportion of population living below the national poverty line, by sex and age",,Ekiti,Percentage(%),28.04
2019,"Proportion of population living below the national poverty line, by sex and age",,Enugu,Percentage(%),58.13
2019,"Proportion of population living below the national poverty line, by sex and age",,Gombe,Percentage(%),62.31
2019,"Proportion of population living below the national poverty line, by sex and age",,Imo,Percentage(%),28.86
2019,"Proportion of population living below the national poverty line, by sex and age",,Jigawa,Percentage(%),87.02
2019,"Proportion of population living below the national poverty line, by sex and age",,Kaduna,Percentage(%),43.48
2019,"Proportion of population living below the national poverty line, by sex and age",,Kano,Percentage(%),55.08
2019,"Proportion of population living below the national poverty line, by sex and age",,Katsina,Percentage(%),56.42
2019,"Proportion of population living below the national poverty line, by sex and age",,Kebbi,Percentage(%),50.17
2019,"Proportion of population living below the national poverty line, by sex and age",,Kogi,Percentage(%),28.51
2019,"Proportion of population living below the national poverty line, by sex and age",,Kwara,Percentage(%),20.35
2019,"Proportion of population living below the national poverty line, by sex and age",,Lagos,Percentage(%),4.5
2019,"Proportion of population living below the national poverty line, by sex and age",,Nasarawa,Percentage(%),57.3
2019,"Proportion of population living below the national poverty line, by sex and age",,Niger,Percentage(%),66.11
2019,"Proportion of population living below the national poverty line, by sex and age",,Ogun,Percentage(%),9.32
2019,"Proportion of population living below the national poverty line, by sex and age",,Ondo,Percentage(%),12.52
2019,"Proportion of population living below the national poverty line, by sex and age",,Osun,Percentage(%),8.52
2019,"Proportion of population living below the national poverty line, by sex and age",,Oyo,Percentage(%),9.83
2019,"Proportion of population living below the national poverty line, by sex and age",,Plateau,Percentage(%),55.05
2019,"Proportion of population living below the national poverty line, by sex and age",,Rivers,Percentage(%),23.91
2019,"Proportion of population living below the national poverty line, by sex and age",,Sokoto,Percentage(%),87.73
2019,"Proportion of population living below the national poverty line, by sex and age",,Taraba,Percentage(%),87.72
2019,"Proportion of population living below the national poverty line, by sex and age",,Yobe,Percentage(%),72.34
2019,"Proportion of population living below the national poverty line, by sex and age",,Zamfara,Percentage(%),73.98
2019,"Proportion of population living below the national poverty line, by sex and age",,FCT,Percentage(%),38.66
2019,"Proportion of population living below the national poverty line, by sex and age",,,Percentage(%),40.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,=,,,,
, ,,,,
