Year,UPPER_BOUND,LOWER_BOUND,Degree of urbanisation,Upper bound value,Lower bound value,Value
2000,6,0.2,,48.4,17,1.7
2001,6.6025,0.3,,48.4,17,2.1
2002,7.8,0.4,,48.4,17,2.5
2003,8.4,0.5,,48.4,17,3.0
2004,9.4025,0.8,,48.4,17,3.4
2005,10.1,1,,48.4,17,3.9
2006,11.2,1.2,,48.4,17,4.5
2007,12.3,1.5,,48.4,17,5.1
2008,13.1,1.7,,48.4,17,5.8
2009,14.1,2,,48.4,17,6.4
2010,15.4,2.4,,48.4,17,7.1
2011,16.6,2.8,,48.4,17,7.9
2012,18,3.2,,48.4,17,8.8
2013,19.9,3.8,,48.4,17,9.9
2014,21.9,4.3,,48.4,17,11.2
2015,23.8,5.3975,,48.4,17,12.6
2016,26,6.2,,48.4,17,14.2
2017,28.7025,7.4,,48.4,17,16.1
2018,31.7,8.4,,48.4,17,18.0
2019,34.2025,9.9,,48.4,17,20.6
2020,37.9,11.4,,48.4,17,23.05
2021,41.0025,13.7,,48.4,17,25.8
2022,45,15.4,,48.4,17,28.5
2023,48.4,17,,48.4,17,31.6
2000,2.1,0,Rural,21.8,4.2,0.5
2001,2.3025,0,Rural,21.8,4.2,0.6
2002,2.5,0,Rural,21.8,4.2,0.7
2003,2.7,0,Rural,21.8,4.2,0.7
2004,3.1,0.1,Rural,21.8,4.2,0.8
2005,3.3,0.1,Rural,21.8,4.2,0.9
2006,3.4,0.1,Rural,21.8,4.2,1.0
2007,3.8,0.1,Rural,21.8,4.2,1.2
2008,4.1,0.2,Rural,21.8,4.2,1.3
2009,4.5,0.2,Rural,21.8,4.2,1.4
2010,5,0.2,Rural,21.8,4.2,1.6
2011,5.5,0.3,Rural,21.8,4.2,1.9
2012,6.2,0.4,Rural,21.8,4.2,2.1
2013,6.8,0.5,Rural,21.8,4.2,2.5
2014,7.5,0.7,Rural,21.8,4.2,2.9
2015,8.4025,0.8,Rural,21.8,4.2,3.3
2016,9.1,1.1,Rural,21.8,4.2,3.9
2017,10.3,1.3,Rural,21.8,4.2,4.5
2018,11.7,1.7,Rural,21.8,4.2,5.3
2019,12.8,2.2,Rural,21.8,4.2,6.2
2020,14.4,2.6,Rural,21.8,4.2,7.3
2021,16.7025,3,Rural,21.8,4.2,8.5
2022,19,3.5975,Rural,21.8,4.2,9.8
2023,21.8,4.2,Rural,21.8,4.2,11.4
2000,20.5,0.4,Urban,83.7,36,5.6
2001,22,0.8,Urban,83.7,36,6.7
2002,23.4,1.2975,Urban,83.7,36,8.0
2003,25.3025,1.8,Urban,83.7,36,9.4
2004,26.8,2.5,Urban,83.7,36,10.8
2005,28.8,3.1,Urban,83.7,36,12.3
2006,30.9,4.1,Urban,83.7,36,13.8
2007,33.2025,4.7,Urban,83.7,36,15.2
2008,34.8,5.8,Urban,83.7,36,16.7
2009,35.9025,6.3,Urban,83.7,36,18.4
2010,38.3,7.2,Urban,83.7,36,19.7
2011,40.9025,8.5,Urban,83.7,36,21.6
2012,42.7,9.4975,Urban,83.7,36,23.5
2013,45.4,11.2975,Urban,83.7,36,25.8
2014,49.1025,12.5,Urban,83.7,36,28.1
2015,51.5,14.6,Urban,83.7,36,30.9
2016,55.0025,16.3,Urban,83.7,36,34.2
2017,60.0025,19.3975,Urban,83.7,36,37.7
2018,63.9,21.7,Urban,83.7,36,41.5
2019,67.9,24.3,Urban,83.7,36,45.8
2020,71.9,27.5,Urban,83.7,36,50.0
2021,76.4025,31.3,Urban,83.7,36,54.7
2022,80.4,34.5,Urban,83.7,36,58.7
2023,83.7,36,Urban,83.7,36,62.6
