Year,Series,Sector,State,Unit,Value
2018,Proportion of population living below the national poverty line,Urban,,Percentage,18.04
2018,Proportion of population living below the national poverty line,Rural,,Percentage,52.1
2018,Proportion of population living below the national poverty line,,Abia,Percentage,30.67
2018,Proportion of population living below the national poverty line,,Adamawa,Percentage,75.41
2018,Proportion of population living below the national poverty line,,Akwa Ibom,Percentage,26.82
2018,Proportion of population living below the national poverty line,,Anambra,Percentage,14.78
2018,Proportion of population living below the national poverty line,,Bauchi,Percentage,61.53
2018,Proportion of population living below the national poverty line,,Bayelsa,Percentage,22.61
2018,Proportion of population living below the national poverty line,,Benue,Percentage,32.9
2018,Proportion of population living below the national poverty line,,Borno,Percentage,-
2018,Proportion of population living below the national poverty line,,Cross River,Percentage,36.29
2018,Proportion of population living below the national poverty line,,Delta,Percentage,6.02
2018,Proportion of population living below the national poverty line,,Ebonyi,Percentage,79.76
2018,Proportion of population living below the national poverty line,,Edo,Percentage,11.99
2018,Proportion of population living below the national poverty line,,Ekiti,Percentage,28.04
2018,Proportion of population living below the national poverty line,,Enugu,Percentage,58.13
2018,Proportion of population living below the national poverty line,,Gombe,Percentage,62.31
2018,Proportion of population living below the national poverty line,,Imo,Percentage,28.86
2018,Proportion of population living below the national poverty line,,Jigawa,Percentage,87.02
2018,Proportion of population living below the national poverty line,,Kaduna,Percentage,43.48
2018,Proportion of population living below the national poverty line,,Kano,Percentage,55.08
2018,Proportion of population living below the national poverty line,,Katsina,Percentage,56.42
2018,Proportion of population living below the national poverty line,,Kebbi,Percentage,50.17
2018,Proportion of population living below the national poverty line,,Kogi,Percentage,28.51
2018,Proportion of population living below the national poverty line,,Kwara,Percentage,20.35
2018,Proportion of population living below the national poverty line,,Lagos,Percentage,4.5
2018,Proportion of population living below the national poverty line,,Nasarawa,Percentage,57.3
2018,Proportion of population living below the national poverty line,,Niger,Percentage,66.11
2018,Proportion of population living below the national poverty line,,Ogun,Percentage,9.32
2018,Proportion of population living below the national poverty line,,Ondo,Percentage,12.52
2018,Proportion of population living below the national poverty line,,Osun,Percentage,8.52
2018,Proportion of population living below the national poverty line,,Oyo,Percentage,9.83
2018,Proportion of population living below the national poverty line,,Plateau,Percentage,55.05
2018,Proportion of population living below the national poverty line,,Rivers,Percentage,23.91
2018,Proportion of population living below the national poverty line,,Sokoto,Percentage,87.73
2018,Proportion of population living below the national poverty line,,Taraba,Percentage,87.72
2018,Proportion of population living below the national poverty line,,Yobe,Percentage,72.34
2018,Proportion of population living below the national poverty line,,Zamfara,Percentage,73.98
2018,Proportion of population living below the national poverty line,,FCT,Percentage,38.66
2018,Proportion of population living below the national poverty line,,Total,Percentage,40.1
2019,Proportion of population living below the national poverty line,Urban,,Percentage,18.04
2019,Proportion of population living below the national poverty line,Rural,,Percentage,52.1
2019,Proportion of population living below the national poverty line,,Abia,Percentage,30.67
2019,Proportion of population living below the national poverty line,,Adamawa,Percentage,75.41
2019,Proportion of population living below the national poverty line,,Akwa Ibom,Percentage,26.82
2019,Proportion of population living below the national poverty line,,Anambra,Percentage,14.78
2019,Proportion of population living below the national poverty line,,Bauchi,Percentage,61.53
2019,Proportion of population living below the national poverty line,,Bayelsa,Percentage,22.61
2019,Proportion of population living below the national poverty line,,Benue,Percentage,32.9
2019,Proportion of population living below the national poverty line,,Borno,Percentage,-
2019,Proportion of population living below the national poverty line,,Cross River,Percentage,36.29
2019,Proportion of population living below the national poverty line,,Delta,Percentage,6.02
2019,Proportion of population living below the national poverty line,,Ebonyi,Percentage,79.76
2019,Proportion of population living below the national poverty line,,Edo,Percentage,11.99
2019,Proportion of population living below the national poverty line,,Ekiti,Percentage,28.04
2019,Proportion of population living below the national poverty line,,Enugu,Percentage,58.13
2019,Proportion of population living below the national poverty line,,Gombe,Percentage,62.31
2019,Proportion of population living below the national poverty line,,Imo,Percentage,28.86
2019,Proportion of population living below the national poverty line,,Jigawa,Percentage,87.02
2019,Proportion of population living below the national poverty line,,Kaduna,Percentage,43.48
2019,Proportion of population living below the national poverty line,,Kano,Percentage,55.08
2019,Proportion of population living below the national poverty line,,Katsina,Percentage,56.42
2019,Proportion of population living below the national poverty line,,Kebbi,Percentage,50.17
2019,Proportion of population living below the national poverty line,,Kogi,Percentage,28.51
2019,Proportion of population living below the national poverty line,,Kwara,Percentage,20.35
2019,Proportion of population living below the national poverty line,,Lagos,Percentage,4.5
2019,Proportion of population living below the national poverty line,,Nasarawa,Percentage,57.3
2019,Proportion of population living below the national poverty line,,Niger,Percentage,66.11
2019,Proportion of population living below the national poverty line,,Ogun,Percentage,9.32
2019,Proportion of population living below the national poverty line,,Ondo,Percentage,12.52
2019,Proportion of population living below the national poverty line,,Osun,Percentage,8.52
2019,Proportion of population living below the national poverty line,,Oyo,Percentage,9.83
2019,Proportion of population living below the national poverty line,,Plateau,Percentage,55.05
2019,Proportion of population living below the national poverty line,,Rivers,Percentage,23.91
2019,Proportion of population living below the national poverty line,,Sokoto,Percentage,87.73
2019,Proportion of population living below the national poverty line,,Taraba,Percentage,87.72
2019,Proportion of population living below the national poverty line,,Yobe,Percentage,72.34
2019,Proportion of population living below the national poverty line,,Zamfara,Percentage,73.98
2019,Proportion of population living below the national poverty line,,FCT,Percentage,38.66
2019,Proportion of population living below the national poverty line,,Total,Percentage,40.1
